Particle ID,Area (ABD),Area (Filled),Aspect Ratio,Average Blue,Average Green,Average Red,Calibration Factor,Calibration Image,Camera,Capture X,Capture Y,Ch1 Area,Ch1 Peak,Ch1 Width,Ch2 Area,Ch2 Peak,Ch2 Width,Ch2/Ch1 Ratio,Circle Fit,Circularity,Circularity (Hu),Compactness,Convex Perimeter,Convexity,Date,Diameter (ABD),Diameter (ESD),Diameter (FD),Edge Gradient,Elapsed Time,Elongation,Feret Angle Max,Feret Angle Min,Fiber Curl,Fiber Straightness,Filter Score,Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Image File,Image Height,Image Width,Image X,Image Y,Intensity,Length,Original Reference ID,Particles Per Chain,Perimeter,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Roughness,Scatter Area,Scatter Peak,Scatter Width,Sigma Intensity,Source Image,Sphere Complement,Sphere Count,Sphere Unknown,Sphere Volume,Sum Intensity,Symmetry,Time,Timestamp,Transparency,Volume (ABD),Volume (ESD),Width
11,751.4857,783.2707,0.4854,144.4750,147.9583,148.8222,1.8293,1,1,490,1453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3579,0.4344,0.6010,2.3022,147.8826,0.8096,2019-08-15,30.9325,43.2426,31.5799,27.9886,2.6720,5.0339,80.0000,0.0000,0.3738,0.7279,0.0000,0.1987,79.1604,15.7255,E01_20190815_4x_01_000001.tif,39,24,321,0,147.0111,57.6229,599053E3-A5CC-47EA-B340-CC804CDD9E20,1,189.7718,0.9765,1.0301,1.0058,1.2833,0.0000,0.0000,0.0000,8.4761,15,0.0000,0,0.0000,0.0000,52924.0000,0.1049,12:27:53,2019-08-15T12:27:53.223,0.2847,1.549690e+04,4.233842e+04,28.3541
12,8562.0865,8562.0865,0.0188,97.7908,100.8019,105.3798,1.8293,1,1,442,1327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0206,0.0168,48.4987,2159.3982,0.4461,2019-08-15,104.4107,683.2436,104.4107,164.8404,2.6720,150.3564,-90.0000,0.0000,0.1429,0.8750,0.0000,0.0067,1224.0754,8.1412,E01_20190815_4x_01_000001.tif,593,22,347,0,100.4285,1071.0551,B01A0E33-BAFD-4461-B89D-DB6EFE6E9DB9,1,2464.4332,0.9701,1.0776,1.0454,1.1413,0.0000,0.0000,0.0000,35.0066,15,0.0000,0,0.0000,0.0000,299076.0000,0.2410,12:27:53,2019-08-15T12:27:53.223,0.8472,5.959821e+05,1.670034e+08,24.6955
13,423.0336,423.0336,0.7357,131.9138,133.9526,133.3664,1.8293,1,1,420,905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8179,0.9480,0.9535,1.0549,89.3589,1.0000,2019-08-15,23.2083,24.6447,23.2083,35.4583,2.6720,1.0000,-70.0000,20.0000,0.0000,1.1901,0.0000,1.0000,25.3613,25.3613,E01_20190815_4x_01_000001.tif,23,20,371,0,133.2845,30.1835,C190C9FA-7120-4B1A-9636-043057F37D6A,1,101.4454,0.9848,1.0110,0.9956,1.1353,0.0000,0.0000,0.0000,22.5892,15,0.0000,0,0.0000,0.0000,30922.0000,0.8605,12:27:53,2019-08-15T12:27:53.223,0.0583,6.545248e+03,7.837384e+03,17.3783
14,646.5947,646.5947,0.5522,129.6937,133.2500,134.0344,1.8293,1,1,986,251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6184,0.7952,0.8244,1.2576,115.5387,1.0000,2019-08-15,28.6927,33.1815,28.6927,36.8871,2.6720,1.0000,45.0000,-30.0000,0.0000,1.2656,0.0000,1.0000,32.5216,32.5216,E01_20190815_4x_01_000001.tif,30,22,393,0,132.2688,41.1593,69D79F4C-E24B-4AC2-B55C-4FFF9DED0148,1,130.0865,0.9733,1.0335,1.0059,1.1259,0.0000,0.0000,0.0000,23.0832,15,0.0000,0,0.0000,0.0000,42326.0000,0.6382,12:27:53,2019-08-15T12:27:53.223,0.1353,1.236836e+04,1.912870e+04,21.0369
15,922.4769,1052.8261,0.5573,137.4292,141.0259,141.1557,1.8293,1,1,979,1651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5829,0.7985,0.8247,1.2523,141.6821,1.0000,2019-08-15,34.2715,41.5658,36.6128,36.7067,2.8430,1.0000,45.0000,-25.0000,0.0000,1.3228,0.0000,1.0000,39.4140,39.4140,E01_20190815_4x_01_000001.tif,34,26,417,0,139.9623,52.1350,B57057A2-E4F0-4A27-92DD-22F11FFFCEAB,1,157.6560,0.9745,1.0271,1.0009,1.1127,0.0000,0.0000,0.0000,13.6927,16,0.0000,0,0.0000,0.0000,59344.0000,0.7123,12:27:53,2019-08-15T12:27:53.389,0.1755,2.107643e+04,3.760156e+04,26.5249
16,4950.3106,4971.5365,0.7080,111.9340,116.7930,117.0844,1.8293,1,1,426,1185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0812,0.0823,0.4950,12.1538,420.0572,0.4939,2019-08-15,79.3910,129.8803,79.5610,56.5568,2.8430,36.1545,-75.0000,10.0000,2.0999,0.3226,0.0000,0.0277,467.8274,12.9397,E01_20190815_4x_01_000001.tif,93,70,445,0,115.3657,150.9172,E448F9A3-D82D-4C01-93C6-A25219CB839C,7,961.5341,0.9584,1.0460,1.0025,2.2891,0.0000,0.0000,0.0000,43.8057,16,0.0000,0,0.0000,0.0000,207889.0000,0.1559,12:27:53,2019-08-15T12:27:53.389,0.3887,2.620067e+05,1.147172e+06,92.3796
17,391.0855,427.9777,0.6439,144.9635,150.4840,152.7032,1.8293,1,1,791,109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2775,0.2335,0.4153,4.2831,157.1780,0.5247,2019-08-15,22.3147,46.2915,23.3435,27.3936,2.8430,11.3677,-80.0000,20.0000,0.6910,0.5914,0.0000,0.0880,94.3474,8.2996,E01_20190815_4x_01_000001.tif,37,32,517,0,149.0731,55.7936,2314048C-FA5A-4F9B-8D96-F11000B68652,1,205.2939,0.9633,1.0534,1.0147,1.3061,0.0000,0.0000,0.0000,9.9892,16,0.0000,0,0.0000,0.0000,32647.0000,0.1686,12:27:53,2019-08-15T12:27:53.389,0.5180,5.817968e+03,5.193989e+04,35.6713
18,809.8608,809.8608,0.8646,87.4476,88.8534,88.1623,1.8293,1,1,633,1818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8801,0.9213,0.9856,1.0854,117.1534,1.0000,2019-08-15,32.1115,33.5372,32.1115,73.0656,3.1720,1.0000,60.0000,0.0000,0.0000,1.1360,0.0000,1.0000,33.0114,33.0114,E01_20190815_4x_01_000001.tif,28,25,551,0,88.3482,37.5007,F9F85F97-CCCB-4EA6-B2E9-A99A94EED525,1,132.0458,0.9842,1.0082,0.9922,1.1271,0.0000,0.0000,0.0000,47.8069,18,0.0000,0,0.0000,0.0000,33749.0000,0.8798,12:27:53,2019-08-15T12:27:53.722,0.0425,1.733721e+04,1.975048e+04,30.1835
19,5278.2566,5278.2566,0.0684,128.0995,132.7539,135.2199,1.8293,1,1,348,1737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1546,0.1181,6.4685,674.4185,0.7992,2019-08-15,81.9786,210.9793,81.9786,31.8027,3.1720,18.2666,85.0000,0.0000,0.0583,0.9449,0.0000,0.0547,341.6888,18.7056,E01_20190815_4x_01_000001.tif,183,25,578,0,131.6361,322.8714,A98BFA4E-160D-4E10-BC20-D3E69FA2710E,1,720.7888,0.9649,1.0556,1.0186,1.0688,0.0000,0.0000,0.0000,18.8822,18,0.0000,0,0.0000,0.0000,251425.0000,0.3186,12:27:53,2019-08-15T12:27:53.722,0.6114,2.884693e+05,4.917201e+06,30.1835
20,1998.3751,1998.3751,0.0447,108.4443,114.9468,119.4740,1.8293,1,1,254,1684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1043,0.0826,9.5850,504.1464,0.9363,2019-08-15,50.4421,156.7608,50.4421,111.3489,3.1720,28.0765,-90.0000,0.0000,0.1282,0.8863,0.0000,0.0356,275.5259,9.8134,E01_20190815_4x_01_000001.tif,142,14,605,0,113.5149,244.2115,D7C7C346-0033-48ED-9465-320EF8B831FF,1,570.6785,0.9434,1.1017,1.0394,1.1320,0.0000,0.0000,0.0000,29.0203,18,0.0000,0,0.0000,0.0000,91720.0000,0.7792,12:27:53,2019-08-15T12:27:53.722,0.6782,6.720155e+04,2.017026e+06,10.0611
