Name,Date,Time,CollageFile,ImageFilename,Id,GroupId,Uuid,SrcImage,SrcX,SrcY,ImageX,ImageY,ImageW,ImageH,Timestamp,ElapsedTime,CalConst,CalImage,AbdArea,AbdDiameter,AbdVolume,AspectRatio,AvgBlue,AvgGreen,AvgRed,BiovolumeCylinder,BiovolumePSpheroid,BiovolumeSphere,Ch1Area,Ch1Peak,Ch1Width,Ch2Area,Ch2Ch1Ratio,Ch2Peak,Ch2Width,Ch3Area,Ch3Peak,Ch3Width,CircleFit,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,EdgeGradient,Elongation,EsdDiameter,EsdVolume,FdDiameter,FeretMaxAngle,FeretMinAngle,FiberCurl,FiberStraightness,FilledArea,FilterScore,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Intensity,Length,Perimeter,Ppc,RatioBlueGreen,RatioRedBlue,RatioRedGreen,Roughness,ScatterArea,ScatterPeak,SigmaIntensity,SphereComplement,SphereCount,SphereUnknown,SphereVolume,SumIntensity,Symmetry,Transparency,Width,BiovolumeMS,SurfaceAreaMS,Preprocessing,PreprocessingTrue,LabelPredicted,ProbabilityScore,LabelTrue,LC_Label,LC_Excluded,LC_Seen
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,11,,599053E3-A5CC-47EA-B340-CC804CDD9E20,15,490,1453,321,0,24,39,2019-08-15 12:27:53.223000,2.672,1.8293,1,751.4857,30.9325,15496.9,0.4854,144.475,147.9583,148.8222,,,,0,0,0,0,0,0,0,,,,0.3579,0.4344,0.601,2.3022,147.8826,0.8096,27.9886,5.0339,43.2426,42338.42,31.5799,80,0,0.3738,0.7279,783.2707,0,0.1987,79.1604,15.7255,147.0111,57.6229,189.7718,1,,,,1.2833,0,0,8.4761,0,0,0,0,52924,0.1049,0.2847,28.3541,9562.29,3346.42,object,,CyaMic000_3217749,0.38205588,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,12,,B01A0E33-BAFD-4461-B89D-DB6EFE6E9DB9,15,442,1327,347,0,22,593,2019-08-15 12:27:53.223000,2.672,1.8293,1,8562.0865,104.4107,595982.1,0.0188,97.7908,100.8019,105.3798,,,,0,0,0,0,0,0,0,,,,0.0,0.0206,0.0168,48.4987,2159.3982,0.4461,164.8404,150.3564,683.2436,167003400.0,104.4107,-90,0,0.1429,0.875,8562.0865,0,0.0067,1224.0754,8.1412,100.4285,1071.0551,2464.4332,1,,,,1.1413,0,0,35.0066,0,0,0,0,299076,0.241,0.8472,24.6955,51363.5,26665.23,object,,CyaPlarub_3218379,0.9999988,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,13,,C190C9FA-7120-4B1A-9636-043057F37D6A,15,420,905,371,0,20,23,2019-08-15 12:27:53.223000,2.672,1.8293,1,423.0336,23.2083,6545.248,0.7357,131.9138,133.9526,133.3664,,,,0,0,0,0,0,0,0,,,,0.8179,0.948,0.9535,1.0549,89.3589,1.0,35.4583,1.0,24.6447,7837.384,23.2083,-70,20,0.0,1.1901,423.0336,0,1.0,25.3613,25.3613,133.2845,30.1835,101.4454,1,,,,1.1353,0,0,22.5892,0,0,0,0,30922,0.8605,0.0583,17.3783,8042.57,2514.11,object,,Detritus,0.9684527,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,14,,69D79F4C-E24B-4AC2-B55C-4FFF9DED0148,15,986,251,393,0,22,30,2019-08-15 12:27:53.223000,2.672,1.8293,1,646.5947,28.6927,12368.36,0.5522,129.6937,133.25,134.0344,,,,0,0,0,0,0,0,0,,,,0.6184,0.7952,0.8244,1.2576,115.5387,1.0,36.8871,1.0,33.1815,19128.7,28.6927,45,-30,0.0,1.2656,646.5947,0,1.0,32.5216,32.5216,132.2688,41.1593,130.0865,1,,,,1.1259,0,0,23.0832,0,0,0,0,42326,0.6382,0.1353,21.0369,14197.28,3916.18,object,,Detritus,0.91656345,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,15,,B57057A2-E4F0-4A27-92DD-22F11FFFCEAB,16,979,1651,417,0,26,34,2019-08-15 12:27:53.389000,2.843,1.8293,1,922.4769,34.2715,21076.43,0.5573,137.4292,141.0259,141.1557,,,,0,0,0,0,0,0,0,,,,0.5829,0.7985,0.8247,1.2523,141.6821,1.0,36.7067,1.0,41.5658,37601.56,36.6128,45,-25,0.0,1.3228,1052.8261,0,1.0,39.414,39.414,139.9623,52.135,157.656,1,,,,1.1127,0,0,13.6927,0,0,0,0,59344,0.7123,0.1755,26.5249,10012.56,3238.36,object,,Detritus,0.930665,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,16,,E448F9A3-D82D-4C01-93C6-A25219CB839C,16,426,1185,445,0,70,93,2019-08-15 12:27:53.389000,2.843,1.8293,1,4950.3106,79.391,262006.7,0.708,111.934,116.793,117.0844,,,,0,0,0,0,0,0,0,,,,0.0812,0.0823,0.495,12.1538,420.0572,0.4939,56.5568,36.1545,129.8803,1147172.0,79.561,-75,10,2.0999,0.3226,4971.5365,0,0.0277,467.8274,12.9397,115.3657,150.9172,961.5341,7,,,,2.2891,0,0,43.8057,0,0,0,0,207889,0.1559,0.3887,92.3796,40347.54,14526.91,object,,ChlPanmor_5271376_colonies,0.81567866,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,17,,2314048C-FA5A-4F9B-8D96-F11000B68652,16,791,109,517,0,32,37,2019-08-15 12:27:53.389000,2.843,1.8293,1,391.0855,22.3147,5817.968,0.6439,144.9635,150.484,152.7032,,,,0,0,0,0,0,0,0,,,,0.2775,0.2335,0.4153,4.2831,157.178,0.5247,27.3936,11.3677,46.2915,51939.89,23.3435,-80,20,0.691,0.5914,427.9777,0,0.088,94.3474,8.2996,149.0731,55.7936,205.2939,1,,,,1.3061,0,0,9.9892,0,0,0,0,32647,0.1686,0.518,35.6713,2623.99,1741.49,object,,BacCen000_3192255,0.9999901,,,,0
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,18,,F9F85F97-CCCB-4EA6-B2E9-A99A94EED525,18,633,1818,551,0,25,28,2019-08-15 12:27:53.722000,3.172,1.8293,1,809.8608,32.1115,17337.21,0.8646,87.4476,88.8534,88.1623,,,,0,0,0,0,0,0,0,,,,0.8801,0.9213,0.9856,1.0854,117.1534,1.0,73.0656,1.0,33.5372,19750.48,32.1115,60,0,0.0,1.136,809.8608,0,1.0,33.0114,33.0114,88.3482,37.5007,132.0458,1,,,,1.1271,0,0,47.8069,0,0,0,0,33749,0.8798,0.0425,30.1835,5112.6,2006.14,object,,ChlPanmor_5271376,0.9959879,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,19,,A98BFA4E-160D-4E10-BC20-D3E69FA2710E,18,348,1737,578,0,25,183,2019-08-15 12:27:53.722000,3.172,1.8293,1,5278.2566,81.9786,288469.3,0.0684,128.0995,132.7539,135.2199,,,,0,0,0,0,0,0,0,,,,0.0,0.1546,0.1181,6.4685,674.4185,0.7992,31.8027,18.2666,210.9793,4917201.0,81.9786,85,0,0.0583,0.9449,5278.2566,0,0.0547,341.6888,18.7056,131.6361,322.8714,720.7888,1,,,,1.0688,0,0,18.8822,0,0,0,0,251425,0.3186,0.6114,30.1835,6667.8,5634.69,object,,CyaPlarub_3218379,0.90235007,,,BacAstfor_3192686,1
E01_20190815_4x_01,2019-08-15,12:27:53,E01_20190815_4x_01_000001.tif,,20,,D7C7C346-0033-48ED-9465-320EF8B831FF,18,254,1684,605,0,14,142,2019-08-15 12:27:53.722000,3.172,1.8293,1,1998.3751,50.4421,67201.55,0.0447,108.4443,114.9468,119.474,,,,0,0,0,0,0,0,0,,,,0.0,0.1043,0.0826,9.585,504.1464,0.9363,111.3489,28.0765,156.7608,2017026.0,50.4421,-90,0,0.1282,0.8863,1998.3751,0,0.0356,275.5259,9.8134,113.5149,244.2115,570.6785,1,,,,1.132,0,0,29.0203,0,0,0,0,91720,0.7792,0.6782,10.0611,3269.63,3234.97,object,,CyaPlarub_3218379,0.6274243,,,BacAstfor_3192686,1
